line_id,date,recon_error,threshold,is_anomaly
L-10,2022-02-06,0.495901,1.256883,0
L-10,2022-02-07,0.518759,1.256883,0
L-10,2022-02-08,0.509553,1.256883,0
L-10,2022-02-09,0.546342,1.256883,0
L-10,2022-02-10,0.527294,1.256883,0
L-10,2022-02-11,0.528752,1.256883,0
L-10,2022-02-12,0.534988,1.256883,0
L-10,2022-02-13,0.54229,1.256883,0
L-10,2022-02-14,0.568242,1.256883,0
L-10,2022-02-15,0.597456,1.256883,0
L-10,2022-02-16,0.590192,1.256883,0
L-10,2022-02-17,0.594638,1.256883,0
L-10,2022-02-18,0.616202,1.256883,0
L-10,2022-02-19,0.625927,1.256883,0
L-10,2022-02-20,0.61813,1.256883,0
L-10,2022-02-21,0.618809,1.256883,0
L-10,2022-02-22,0.637564,1.256883,0
L-10,2022-02-23,0.598695,1.256883,0
L-10,2022-02-24,0.567456,1.256883,0
L-10,2022-02-25,0.563232,1.256883,0
L-10,2022-02-26,0.583428,1.256883,0
L-10,2022-02-27,0.582738,1.256883,0
L-10,2022-02-28,0.585949,1.256883,0
L-10,2022-03-01,0.592793,1.256883,0
L-10,2022-03-02,0.64979,1.256883,0
L-10,2022-03-03,0.626021,1.256883,0
L-10,2022-03-04,0.636652,1.256883,0
L-10,2022-03-05,0.662977,1.256883,0
L-10,2022-03-06,0.636557,1.256883,0
L-10,2022-03-07,0.643198,1.256883,0
L-10,2022-03-08,0.610802,1.256883,0
L-10,2022-03-09,0.621205,1.256883,0
L-10,2022-03-10,0.623733,1.256883,0
L-10,2022-03-11,0.605207,1.256883,0
L-10,2022-03-12,0.624723,1.256883,0
L-10,2022-03-13,0.649056,1.256883,0
L-10,2022-03-14,0.648843,1.256883,0
L-10,2022-03-15,0.60501,1.256883,0
L-10,2022-03-16,0.600328,1.256883,0
L-10,2022-03-17,0.597206,1.256883,0
L-10,2022-03-18,0.592986,1.256883,0
L-10,2022-03-19,0.600447,1.256883,0
L-10,2022-03-20,0.618109,1.256883,0
L-10,2022-03-21,0.606605,1.256883,0
L-10,2022-03-22,0.742774,1.256883,0
L-10,2022-03-23,0.730561,1.256883,0
L-10,2022-03-24,0.682455,1.256883,0
L-10,2022-03-25,0.666446,1.256883,0
L-10,2022-03-26,0.690248,1.256883,0
L-10,2022-03-27,0.680411,1.256883,0
L-10,2022-03-28,0.651704,1.256883,0
L-10,2022-03-29,0.644955,1.256883,0
L-10,2022-03-30,0.637884,1.256883,0
L-10,2022-03-31,0.61889,1.256883,0
L-10,2022-04-01,0.617381,1.256883,0
L-10,2022-04-02,0.642741,1.256883,0
L-10,2022-04-03,0.621282,1.256883,0
L-10,2022-04-04,0.66099,1.256883,0
L-10,2022-04-05,0.64881,1.256883,0
L-10,2022-04-06,0.662212,1.256883,0
L-10,2022-04-07,0.681148,1.256883,0
L-10,2022-04-08,0.673609,1.256883,0
L-10,2022-04-09,0.679888,1.256883,0
L-10,2022-04-10,0.687983,1.256883,0
L-10,2022-04-11,0.693809,1.256883,0
L-10,2022-04-12,0.705543,1.256883,0
L-10,2022-04-13,0.72075,1.256883,0
L-10,2022-04-14,0.71358,1.256883,0
L-10,2022-04-15,0.733657,1.256883,0
L-10,2022-04-16,0.796475,1.256883,0
L-10,2022-04-17,0.797525,1.256883,0
L-10,2022-04-18,0.884672,1.256883,0
L-10,2022-04-19,0.844972,1.256883,0
L-10,2022-04-20,0.831081,1.256883,0
L-10,2022-04-21,0.727799,1.256883,0
L-10,2022-04-22,0.751097,1.256883,0
L-10,2022-04-23,0.751023,1.256883,0
L-10,2022-04-24,0.744667,1.256883,0
L-10,2022-04-25,0.713767,1.256883,0
L-10,2022-04-26,0.713418,1.256883,0
L-10,2022-04-27,0.691275,1.256883,0
L-10,2022-04-28,0.694805,1.256883,0
L-10,2022-04-29,0.627268,1.256883,0
L-10,2022-04-30,0.637745,1.256883,0
L-10,2022-05-01,0.536287,1.256883,0
L-10,2022-05-02,0.550511,1.256883,0
L-10,2022-05-03,0.583993,1.256883,0
L-10,2022-05-04,0.567076,1.256883,0
L-10,2022-05-05,0.593117,1.256883,0
L-10,2022-05-06,0.583585,1.256883,0
L-10,2022-05-07,0.566381,1.256883,0
L-10,2022-05-08,0.551807,1.256883,0
L-10,2022-05-09,0.548674,1.256883,0
L-10,2022-05-10,0.550261,1.256883,0
L-10,2022-05-11,0.568438,1.256883,0
L-10,2022-05-12,0.60745,1.256883,0
L-10,2022-05-13,0.642697,1.256883,0
L-10,2022-05-14,0.613351,1.256883,0
L-10,2022-05-15,0.588952,1.256883,0
L-10,2022-05-16,0.607897,1.256883,0
L-10,2022-05-17,0.597317,1.256883,0
L-10,2022-05-18,0.551471,1.256883,0
L-10,2022-05-19,0.54282,1.256883,0
L-10,2022-05-20,0.593599,1.256883,0
L-10,2022-05-21,0.600118,1.256883,0
L-10,2022-05-22,0.670616,1.256883,0
L-10,2022-05-23,0.658827,1.256883,0
L-10,2022-05-24,0.659082,1.256883,0
L-10,2022-05-25,0.640513,1.256883,0
L-10,2022-05-26,0.662993,1.256883,0
L-10,2022-05-27,0.668191,1.256883,0
L-10,2022-05-28,0.646894,1.256883,0
L-10,2022-05-29,0.683962,1.256883,0
L-10,2022-05-30,0.679452,1.256883,0
L-10,2022-05-31,0.662717,1.256883,0
L-10,2022-06-01,0.603989,1.256883,0
L-10,2022-06-02,0.56486,1.256883,0
L-10,2022-06-03,0.567612,1.256883,0
L-10,2022-06-04,0.564987,1.256883,0
L-10,2022-06-05,0.630064,1.256883,0
L-10,2022-06-06,0.661518,1.256883,0
L-10,2022-06-07,0.654123,1.256883,0
L-10,2022-06-08,0.643365,1.256883,0
L-10,2022-06-09,0.637353,1.256883,0
L-10,2022-06-10,0.658645,1.256883,0
L-10,2022-06-11,0.627519,1.256883,0
L-10,2022-06-12,0.556115,1.256883,0
L-10,2022-06-13,0.533182,1.256883,0
L-10,2022-06-14,0.54037,1.256883,0
L-10,2022-06-15,0.559816,1.256883,0
L-10,2022-06-16,0.560629,1.256883,0
L-10,2022-06-17,0.547033,1.256883,0
L-10,2022-06-18,0.500365,1.256883,0
L-10,2022-06-19,0.471368,1.256883,0
L-10,2022-06-20,0.470165,1.256883,0
L-10,2022-06-21,0.463063,1.256883,0
L-10,2022-06-22,0.457864,1.256883,0
L-10,2022-06-23,0.485023,1.256883,0
L-10,2022-06-24,0.473225,1.256883,0
L-10,2022-06-25,0.506162,1.256883,0
L-10,2022-06-26,0.526688,1.256883,0
L-10,2022-06-27,0.526161,1.256883,0
L-10,2022-06-28,0.478741,1.256883,0
L-10,2022-06-29,0.448541,1.256883,0
L-10,2022-06-30,0.463457,1.256883,0
L-10,2022-07-01,0.488549,1.256883,0
L-10,2022-07-02,0.526379,1.256883,0
L-10,2022-07-03,0.56755,1.256883,0
L-10,2022-07-04,0.589333,1.256883,0
L-10,2022-07-05,0.556586,1.256883,0
L-10,2022-07-06,0.586945,1.256883,0
L-10,2022-07-07,0.599927,1.256883,0
L-10,2022-07-08,0.580518,1.256883,0
L-10,2022-07-09,0.622955,1.256883,0
